id,名称,カテゴリ,都道府県コード,都道府県名,市区町村コード,市区町村名,緯度,経度,情報,情報の出典,データソース
NEW00001,旧函館博物館1号,建造物,01,北海道,01202,函館市,41.79926985024154,140.83035502898554,北海道函館市にある登録・指定文化財（建造物）。,カテゴリ由来の自動生成,文化財(Wikipedia都道府県指定文化財一覧)
NEW00002,旧函館博物館2号,建造物,01,北海道,01202,函館市,41.79926985024154,140.83035502898554,北海道函館市にある登録・指定文化財（建造物）。,カテゴリ由来の自動生成,文化財(Wikipedia都道府県指定文化財一覧)
NEW00003,旧金森洋物店,建造物,01,北海道,01202,函館市,41.79926985024154,140.83035502898554,北海道函館市にある登録・指定文化財（建造物）。,カテゴリ由来の自動生成,文化財(Wikipedia都道府県指定文化財一覧)
NEW00004,旧北海道庁函館支庁庁舎,建造物,01,北海道,01202,函館市,41.79926985024154,140.83035502898554,北海道函館市にある登録・指定文化財（建造物）。,カテゴリ由来の自動生成,文化財(Wikipedia都道府県指定文化財一覧)
NEW00005,旧開拓使函館支庁書籍庫,建造物,01,北海道,01202,函館市,41.79926985024154,140.83035502898554,北海道函館市にある登録・指定文化財（建造物）。,カテゴリ由来の自動生成,文化財(Wikipedia都道府県指定文化財一覧)
NEW00006,松前城本丸表御殿玄関,建造物,01,北海道,01331,松前町,41.47750114705883,140.05596097058825,北海道松前町にある登録・指定文化財（建造物）。,カテゴリ由来の自動生成,文化財(Wikipedia都道府県指定文化財一覧)
NEW00007,徳山大神宮,建造物,01,北海道,01331,松前町,41.47750114705883,140.05596097058825,北海道松前町にある登録・指定文化財（建造物）。,カテゴリ由来の自動生成,文化財(Wikipedia都道府県指定文化財一覧)
NEW00008,旧檜山爾志郡役所庁舎,建造物,01,北海道,01361,江差町,41.881946756756754,140.14856870270273,北海道江差町にある登録・指定文化財（建造物）。,カテゴリ由来の自動生成,文化財(Wikipedia都道府県指定文化財一覧)
NEW00009,砂館神社本殿,建造物,01,北海道,01362,上ノ国町,41.75908161538462,140.10716484615386,北海道上ノ国町にある登録・指定文化財（建造物）。,カテゴリ由来の自動生成,文化財(Wikipedia都道府県指定文化財一覧)
NEW00010,上ノ國八幡宮本殿,建造物,01,北海道,01362,上ノ国町,41.75908161538462,140.10716484615386,北海道上ノ国町にある登録・指定文化財（建造物）。,カテゴリ由来の自動生成,文化財(Wikipedia都道府県指定文化財一覧)
NEW00011,にしん漁場建築（旧田中家住宅）,建造物,01,北海道,01203,小樽市,43.18659339583334,141.00518140277785,北海道小樽市にある登録・指定文化財（建造物）。,カテゴリ由来の自動生成,文化財(Wikipedia都道府県指定文化財一覧)
NEW00012,漁場建築佐藤家,建造物,01,北海道,01392,寿都町,42.791931000000005,140.24478454545454,北海道寿都町にある登録・指定文化財（建造物）。,カテゴリ由来の自動生成,文化財(Wikipedia都道府県指定文化財一覧)
NEW00013,琴似屯田兵屋,建造物,01,北海道,01101,札幌市,43.05310114646463,141.3371456656567,北海道札幌市にある登録・指定文化財（建造物）。,カテゴリ由来の自動生成,文化財(Wikipedia都道府県指定文化財一覧)
NEW00014,旧永山武四郎邸,建造物,01,北海道,01101,札幌市,43.05310114646463,141.3371456656567,北海道札幌市にある登録・指定文化財（建造物）。,カテゴリ由来の自動生成,文化財(Wikipedia都道府県指定文化財一覧)
NEW00015,野幌屯田兵第二中隊本部,建造物,01,北海道,01217,江別市,43.10395266666665,141.53962618253965,北海道江別市にある登録・指定文化財（建造物）。,カテゴリ由来の自動生成,文化財(Wikipedia都道府県指定文化財一覧)
NEW00016,美唄屯田兵屋,建造物,01,北海道,01215,美唄市,43.33148124107139,141.86832055654767,北海道美唄市にある登録・指定文化財（建造物）。,カテゴリ由来の自動生成,文化財(Wikipedia都道府県指定文化財一覧)
NEW00017,本願寺駅逓,建造物,01,北海道,01438,沼田町,43.82583477142856,141.9414648,北海道沼田町にある登録・指定文化財（建造物）。,カテゴリ由来の自動生成,文化財(Wikipedia都道府県指定文化財一覧)
